feature,coefficient,abs_coefficient
cat__vehicle_type_code_5_e-scooter,-0.29074599439068066,0.29074599439068066
cat__contributing_factor_vehicle_1_tire failure/inadequate,-0.29036517157517455,0.29036517157517455
cat__vehicle_type_code_5_truck,0.28817332352999026,0.28817332352999026
cat__vehicle_type_code_4_unk,0.2880840615989323,0.2880840615989323
cat__zip_code_10173,-0.2873505065099412,0.2873505065099412
cat__zip_code_10170,0.28705283508228235,0.28705283508228235
cat__zip_code_10014,-0.2866885448260109,0.2866885448260109
cat__vehicle_type_code_1_tractor truck gasoline,-0.2865925721825018,0.2865925721825018
cat__vehicle_type_code_5_box truck,0.2864228798024331,0.2864228798024331
num__person_child_share,0.28333750973699484,0.28333750973699484
cat__contributing_factor_vehicle_5_traffic control disregarded,-0.28122847974272014,0.28122847974272014
cat__vehicle_type_code_4_pick-up truck,0.28093121162038476,0.28093121162038476
cat__vehicle_type_code_5_tow truck / wrecker,-0.2780204292194836,0.2780204292194836
cat__zip_code_11001,0.2764768935510543,0.2764768935510543
cat__vehicle_type_code_3_tractor truck gasoline,0.2754990021439683,0.2754990021439683
cat__contributing_factor_vehicle_1_outside car distraction,-0.27396053115454294,0.27396053115454294
num__has_bike_vehicle,0.27381612028104335,0.27381612028104335
cat__zip_code_11430,-0.27193137412642143,0.27193137412642143
cat__vehicle_type_code_5_trailer,-0.2686267546748716,0.2686267546748716
cat__contributing_factor_vehicle_3_unsafe lane changing,-0.26849126249619076,0.26849126249619076
cat__contributing_factor_vehicle_1_unspecified,-0.2681168326948391,0.2681168326948391
cat__vehicle_type_code_2_garbage or refuse,-0.2680150405165173,0.2680150405165173
cat__vehicle_type_code_2_3-door,-0.266734640081313,0.266734640081313
cat__zip_code_10115,-0.26522755742157866,0.26522755742157866
cat__zip_code_10471,0.26514482608091006,0.26514482608091006
num__driver_unknown_sex_count,0.26318927501774597,0.26318927501774597
cat__zip_code_10112,0.261224345051251,0.261224345051251
cat__vehicle_type_code_5_armored truck,0.2610646007870053,0.2610646007870053
num__person_other_type_count,0.25784032270968577,0.25784032270968577
cat__contributing_factor_vehicle_3_passing or lane usage improper,-0.25589635189607934,0.25589635189607934
num__person_records_count,0.2553129652092091,0.2553129652092091
cat__contributing_factor_vehicle_3_passenger distraction,-0.25405881995758045,0.25405881995758045
cat__contributing_factor_vehicle_1_turning improperly,-0.25236864699371025,0.25236864699371025
cat__vehicle_type_code_5_street swe,0.25171165076817653,0.25171165076817653
cat__zip_code_10465,0.2507704783306357,0.2507704783306357
cat__contributing_factor_vehicle_4_driver inattention/distraction,-0.24918786008584048,0.24918786008584048
cat__zip_code_10452,-0.24913249971741938,0.24913249971741938
cat__zip_code_10005,-0.24871795769215654,0.24871795769215654
num__has_parked_precrash,-0.24847692374253438,0.24847692374253438
cat__zip_code_11201,-0.24750979609021048,0.24750979609021048
cat__zip_code_group_11201,-0.24750979609021048,0.24750979609021048
cat__zip_code_11229,0.24719050830586706,0.24719050830586706
cat__zip_code_group_11229,0.24719050830586706,0.24719050830586706
cat__zip_code_11419,0.24570747726426576,0.24570747726426576
cat__zip_code_11429,0.2450207962831759,0.2450207962831759
cat__vehicle_type_code_1_tractor truck diesel,-0.24450936715893098,0.24450936715893098
cat__vehicle_type_code_2_trailer,0.2431403549304345,0.2431403549304345
cat__contributing_factor_vehicle_1_backing unsafely,-0.24244049107996923,0.24244049107996923
cat__vehicle_type_code_1_carry all,-0.2405424522691918,0.2405424522691918
cat__vehicle_type_code_2_motorbike,0.24039038427658677,0.24039038427658677
cat__zip_code_11695,-0.24023733435715094,0.24023733435715094
cat__zip_code_group_11226,0.23984532146755796,0.23984532146755796
cat__zip_code_11226,0.23984532146755796,0.23984532146755796
cat__contributing_factor_vehicle_5_aggressive driving/road rage,0.23978767382992816,0.23978767382992816
cat__vehicle_type_code_1_garbage or refuse,-0.23974546290959797,0.23974546290959797
cat__vehicle_type_code_5_c3,0.23896294208015684,0.23896294208015684
cat__zip_code_11423,0.23856993001904636,0.23856993001904636
cat__zip_code_10177,0.23847564816371153,0.23847564816371153
cat__zip_code_11426,0.23693584533906148,0.23693584533906148
cat__zip_code_10024,-0.2367239187459116,0.2367239187459116
cat__vehicle_type_code_4_sedan,0.23370873757794305,0.23370873757794305
cat__vehicle_type_code_5_tractor tr,-0.23364297915698276,0.23364297915698276
num__person_female_count,0.23303913098501208,0.23303913098501208
cat__contributing_factor_vehicle_2_tinted windows,0.23245813341035845,0.23245813341035845
cat__zip_code_10030,0.23212552749201415,0.23212552749201415
cat__vehicle_type_code_2_tractor truck gasoline,0.2318418504410412,0.2318418504410412
cat__contributing_factor_vehicle_2_headlights defective,-0.2313744404447739,0.2313744404447739
num__has_going_straight_precrash,0.22900327514894994,0.22900327514894994
cat__contributing_factor_vehicle_1_other,0.22845066034416492,0.22845066034416492
cat__contributing_factor_vehicle_2_pavement defective,0.22829036190492497,0.22829036190492497
num__driver_male_count,-0.2280021125829216,0.2280021125829216
cat__vehicle_type_code_2_carry all,-0.22580912944349835,0.22580912944349835
cat__zip_code_10167,-0.2255082788056899,0.2255082788056899
cat__contributing_factor_vehicle_4_driver inexperience,-0.2254425165424991,0.2254425165424991
cat__zip_code_10111,0.22526357451507287,0.22526357451507287
